Variety,Count
Pinot Noir,20225
Cabernet Sauvignon,16493
Chardonnay,14928
Syrah,7518
Zinfandel,6500
Red Blend,6324
Merlot,5941
Sauvignon Blanc,4749
Bordeaux-style Red Blend,3656
Riesling,3405
Cabernet Franc,2014
Viognier,1746
Pinot Gris,1720
Petite Sirah,1625
Rosé,1603
Sparkling Blend,1325
White Blend,1305
Rhône-style Red Blend,1259
Sangiovese,1039
Malbec,952
Grenache,930
Gewürztraminer,862
Pinot Grigio,831
Tempranillo,676
Meritage,558
Barbera,493
Rhône-style White Blend,445
Pinot Blanc,420
Mourvèdre,374
Petit Verdot,368
Roussanne,315
Chenin Blanc,265
G-S-M,236
Sémillon,224
Albariño,220
Moscato,204
Primitivo,203
Grenache Blanc,185
Port,174
Cabernet Blend,173
Fumé Blanc,172
Champagne Blend,164
Shiraz,164
Cabernet Sauvignon-Syrah,150
Grüner Veltliner,139
Dolcetto,112
Nebbiolo,102
Muscat Canelli,91
Carmenère,89
Cabernet Sauvignon-Merlot,88
Bordeaux-style White Blend,87
Semillon-Sauvignon Blanc,87
Tannat,87
Marsanne,85
Sauvignon Blanc-Semillon,76
Vidal Blanc,76
Petite Verdot,74
Muscat,72
Claret,70
Charbono,66
Vermentino,64
Syrah-Grenache,61
Carignane,55
Lemberger,55
Orange Muscat,50
Marsanne-Roussanne,50
Grenache-Syrah,49
Cinsault,49
Verdelho,47
Pinot Meunier,45
White Riesling,44
Merlot-Cabernet Sauvignon,39
Syrah-Cabernet Sauvignon,38
Norton,38
Syrah-Cabernet,37
Montepulciano,36
Cabernet Merlot,34
Chambourcin,34
Pinotage,33
Malvasia Bianca,33
Vignoles,33
Touriga Nacional,30
Gamay Noir,30
Cabernet Sauvignon-Cabernet Franc,30
Syrah-Petite Sirah,30
Teroldego,29
Merlot-Cabernet Franc,29
Cabernet Franc-Merlot,29
Tocai Friulano,28
Counoise,28
Petit Manseng,26
Chardonnay-Viognier,26
Arneis,26
Aglianico,26
Müller-Thurgau,26
Blaufränkisch,26
Baco Noir,25
Viognier-Roussanne,25
Black Muscat,24
Graciano,24
Johannisberg Riesling,24
Muscat Blanc,23
Roussanne-Viognier,23
Seyval Blanc,22
Rkatsiteli,21
Colombard,21
Traminette,21
Carignan,20
Aligoté,20
Garnacha,20
Auxerrois,19
Chenin Blanc-Viognier,19
Tempranillo-Cabernet Sauvignon,14
Cabernet Sauvignon-Sangiovese,14
Mission,14
Cabernet-Syrah,14
Tempranillo Blend,14
Syrah-Viognier,14
Lagrein,14
Alicante Bouschet,13
Syrah-Mourvèdre,12
Semillon-Chardonnay,12
Merlot-Cabernet,12
Monastrell,11
Dornfelder,11
Zweigelt,10
Syrah-Tempranillo,10
Fiano,10
Symphony,10
Mataro,10
Valdiguié,9
Picpoul,9
Sangiovese-Syrah,9
Sangiovese-Cabernet Sauvignon,9
Cortese,8
Torrontés,8
Cabernet,8
Scheurebe,8
Muskat Ottonel,8
Grenache-Mourvèdre,7
Viognier-Marsanne,7
Syrah-Cabernet Franc,7
Grenache Blend,7
Sagrantino,7
Malbec-Merlot,7
Pinot-Chardonnay,7
Chardonnay-Semillon,6
Nero d'Avola,6
Traminer,6
Grenache-Carignan,6
Saperavi,6
Black Monukka,6
Chardonnay-Albariño,6
Edelzwicker,6
Rosato,6
Blanc du Bois,6
Verdejo,5
Cabernet Sauvignon-Carmenère,5
Sauvignon Gris,5
Morio Muskat,5
Roussanne-Marsanne,5
Cayuga,5
Gamay,5
Cabernet Sauvignon-Malbec,5
Angevine,5
Siegerrebe,5
Gewürztraminer-Riesling,5
Sangiovese Cabernet,5
Debit,5
Moscato Giallo,4
Madeleine Angevine,4
Marsanne-Viognier,4
Trousseau Gris,4
Sherry,4
Ugni Blanc,4
Cabernet Sauvignon-Shiraz,4
Jacquez,4
Malbec-Syrah,3
Mondeuse,3
Shiraz-Cabernet Sauvignon,3
Sylvaner,3
Melon,3
Pinot Nero,3
Cabernet Pfeffer,3
Carignan-Grenache,3
Vernaccia,3
Touriga,3
Malbec-Tannat,3
Alvarelhão,3
Viognier-Chardonnay,3
Trebbiano,3
Viognier-Grenache Blanc,3
Roussanne-Grenache Blanc,3
Vidal,3
Apple,3
Pinot Noir-Syrah,3
Souzao,3
Merlot-Syrah,2
Aleatico,2
Touriga Franca,2
Petite Syrah,2
Muscat d'Alexandrie,2
Shiraz-Viognier,2
Viognier-Valdiguié,2
Tempranillo-Garnacha,2
Maréchal Foch,2
Grenache-Shiraz,2
Falanghina,2
Merlot-Malbec,2
Mourvèdre-Syrah,2
Viognier-Gewürztraminer,2
Sangiovese Grosso,2
Chancellor,2
Madeira Blend,2
Muscadine,2
Chardonel,2
Chelois,2
Grenache Noir,2
Pinot Grigio-Sauvignon Blanc,2
Sauvignon Musqué,2
Negroamaro,2
Muscat Hamburg,2
Marquette,2
Ribolla Gialla,2
Syrah-Merlot,2
Pinot Auxerrois,2
Pinot Blanc-Chardonnay,2
Negrette,2
Refosco,2
Merlot-Petite Verdot,2
Cabernet Franc-Lemberger,2
St. Vincent,2
Tempranillo-Syrah,1
Cabernet Sauvignon-Tempranillo,1
Touriga Nacional Blend,1
Pinot Blanc-Viognier,1
Tinta Amarela,1
Kerner,1
Valvin Muscat,1
Cabernet-Shiraz,1
Tinta Madeira,1
Cabernet Franc-Cabernet Sauvignon,1
Chardonnay-Pinot Blanc,1
Tannat-Syrah,1
Prosecco,1
Silvaner,1
Syrah-Grenache-Viognier,1
Chardonnay-Riesling,1
Clairette,1
Diamond,1
Chardonnay-Pinot Gris,1
Alvarinho,1
Cabernet Franc-Malbec,1
Muskat,1
Malvasia,1
Chardonelle,1
Tempranillo-Malbec,1
Muscat Blanc à Petits Grains,1
Greco,1
Abouriou,1
Pinot Gris-Gewürztraminer,1
Sauvignon Blanc-Chenin Blanc,1
Pinot Blanc-Pinot Noir,1
Palomino,1
Piquepoul Blanc,1
Cabernet Sauvignon-Barbera,1
Barbera-Nebbiolo,1
Garnacha Blanca,1
Syrah-Petit Verdot,1
White Port,1
Riesling-Chardonnay,1
Malbec-Cabernet Sauvignon,1
Rosado,1
Pinot Grigio-Chardonnay,1
