Variety,Count
Pinot Noir,20225
Cabernet Sauvignon,16493
Chardonnay,14928
Syrah,7518
Zinfandel,6500
Red Blend,6324
Merlot,5941
Sauvignon Blanc,4749
Bordeaux-style Red Blend,3656
Riesling,3405
Cabernet Franc,2014
Viognier,1746
Pinot Gris,1720
Petite Sirah,1625
RosÃ©,1603
Sparkling Blend,1325
White Blend,1305
RhÃ´ne-style Red Blend,1259
Sangiovese,1039
Malbec,952
Grenache,930
GewÃ¼rztraminer,862
Pinot Grigio,831
Tempranillo,676
Meritage,558
Barbera,493
RhÃ´ne-style White Blend,445
Pinot Blanc,420
MourvÃ¨dre,374
Petit Verdot,368
Roussanne,315
Chenin Blanc,265
G-S-M,236
SÃ©millon,224
AlbariÃ±o,220
Moscato,204
Primitivo,203
Grenache Blanc,185
Port,174
Cabernet Blend,173
FumÃ© Blanc,172
Champagne Blend,164
Shiraz,164
Cabernet Sauvignon-Syrah,150
GrÃ¼ner Veltliner,139
Dolcetto,112
Nebbiolo,102
Muscat Canelli,91
CarmenÃ¨re,89
Cabernet Sauvignon-Merlot,88
Semillon-Sauvignon Blanc,87
Tannat,87
Bordeaux-style White Blend,87
Marsanne,85
Sauvignon Blanc-Semillon,76
Vidal Blanc,76
Petite Verdot,74
Muscat,72
Claret,70
Charbono,66
Vermentino,64
Syrah-Grenache,61
Lemberger,55
Carignane,55
Orange Muscat,50
Marsanne-Roussanne,50
Grenache-Syrah,49
Cinsault,49
Verdelho,47
Pinot Meunier,45
White Riesling,44
Merlot-Cabernet Sauvignon,39
Norton,38
Syrah-Cabernet Sauvignon,38
Syrah-Cabernet,37
Montepulciano,36
Chambourcin,34
Cabernet Merlot,34
Vignoles,33
Pinotage,33
Malvasia Bianca,33
Gamay Noir,30
Touriga Nacional,30
Cabernet Sauvignon-Cabernet Franc,30
Syrah-Petite Sirah,30
Cabernet Franc-Merlot,29
Merlot-Cabernet Franc,29
Teroldego,29
Counoise,28
Tocai Friulano,28
MÃ¼ller-Thurgau,26
Petit Manseng,26
BlaufrÃ¤nkisch,26
Arneis,26
Aglianico,26
Chardonnay-Viognier,26
Viognier-Roussanne,25
Baco Noir,25
Black Muscat,24
Graciano,24
Johannisberg Riesling,24
Roussanne-Viognier,23
Muscat Blanc,23
Seyval Blanc,22
Rkatsiteli,21
Colombard,21
Traminette,21
Carignan,20
Garnacha,20
AligotÃ©,20
Auxerrois,19
Chenin Blanc-Viognier,19
Cabernet-Syrah,14
Syrah-Viognier,14
Lagrein,14
Tempranillo-Cabernet Sauvignon,14
Cabernet Sauvignon-Sangiovese,14
Mission,14
Tempranillo Blend,14
Alicante Bouschet,13
Merlot-Cabernet,12
Syrah-MourvÃ¨dre,12
Semillon-Chardonnay,12
Dornfelder,11
Monastrell,11
Zweigelt,10
Symphony,10
Syrah-Tempranillo,10
Fiano,10
Mataro,10
Sangiovese-Cabernet Sauvignon,9
ValdiguiÃ©,9
Sangiovese-Syrah,9
Picpoul,9
Cabernet,8
TorrontÃ©s,8
Cortese,8
Scheurebe,8
Muskat Ottonel,8
Pinot-Chardonnay,7
Grenache-MourvÃ¨dre,7
Syrah-Cabernet Franc,7
Viognier-Marsanne,7
Malbec-Merlot,7
Grenache Blend,7
Sagrantino,7
Grenache-Carignan,6
Rosato,6
Nero d'Avola,6
Black Monukka,6
Blanc du Bois,6
Traminer,6
Chardonnay-AlbariÃ±o,6
Edelzwicker,6
Chardonnay-Semillon,6
Saperavi,6
Roussanne-Marsanne,5
Angevine,5
Sauvignon Gris,5
Siegerrebe,5
GewÃ¼rztraminer-Riesling,5
Cabernet Sauvignon-CarmenÃ¨re,5
Sangiovese Cabernet,5
Gamay,5
Debit,5
Verdejo,5
Cayuga,5
Morio Muskat,5
Cabernet Sauvignon-Malbec,5
Marsanne-Viognier,4
Madeleine Angevine,4
Trousseau Gris,4
Ugni Blanc,4
Moscato Giallo,4
Sherry,4
Jacquez,4
Cabernet Sauvignon-Shiraz,4
Pinot Noir-Syrah,3
Pinot Nero,3
Viognier-Chardonnay,3
Malbec-Tannat,3
Apple,3
Vidal,3
Touriga,3
Trebbiano,3
Shiraz-Cabernet Sauvignon,3
Souzao,3
Sylvaner,3
Melon,3
AlvarelhÃ£o,3
Cabernet Pfeffer,3
Viognier-Grenache Blanc,3
Mondeuse,3
Carignan-Grenache,3
Roussanne-Grenache Blanc,3
Vernaccia,3
Malbec-Syrah,3
Petite Syrah,2
Cabernet Franc-Lemberger,2
Chancellor,2
Grenache Noir,2
Chelois,2
Syrah-Merlot,2
Negrette,2
Touriga Franca,2
Aleatico,2
Merlot-Petite Verdot,2
Pinot Grigio-Sauvignon Blanc,2
Muscat d'Alexandrie,2
Negroamaro,2
MourvÃ¨dre-Syrah,2
Merlot-Syrah,2
Merlot-Malbec,2
St. Vincent,2
Madeira Blend,2
MarÃ©chal Foch,2
Falanghina,2
Sauvignon MusquÃ©,2
Tempranillo-Garnacha,2
Marquette,2
Ribolla Gialla,2
Pinot Blanc-Chardonnay,2
Chardonel,2
Refosco,2
Sangiovese Grosso,2
Grenache-Shiraz,2
Muscat Hamburg,2
Muscadine,2
Viognier-GewÃ¼rztraminer,2
Viognier-ValdiguiÃ©,2
Shiraz-Viognier,2
Pinot Auxerrois,2
Sauvignon Blanc-Chenin Blanc,1
Pinot Gris-GewÃ¼rztraminer,1
Palomino,1
Pinot Blanc-Pinot Noir,1
Syrah-Petit Verdot,1
White Port,1
Abouriou,1
Garnacha Blanca,1
Riesling-Chardonnay,1
Malbec-Cabernet Sauvignon,1
Pinot Blanc-Viognier,1
Touriga Nacional Blend,1
Chardonnay-Riesling,1
Syrah-Grenache-Viognier,1
Piquepoul Blanc,1
Cabernet Sauvignon-Barbera,1
Cabernet Franc-Malbec,1
Silvaner,1
Tinta Amarela,1
Cabernet-Shiraz,1
Tempranillo-Syrah,1
Cabernet Sauvignon-Tempranillo,1
Valvin Muscat,1
Kerner,1
Tinta Madeira,1
Cabernet Franc-Cabernet Sauvignon,1
Tannat-Syrah,1
Chardonnay-Pinot Blanc,1
Prosecco,1
Tempranillo-Malbec,1
Muscat Blanc Ã  Petits Grains,1
Pinot Grigio-Chardonnay,1
Chardonelle,1
Chardonnay-Pinot Gris,1
Diamond,1
Clairette,1
Muskat,1
Malvasia,1
Greco,1
Barbera-Nebbiolo,1
Rosado,1
Alvarinho,1
